TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals;;;;;;;
br.com.petdelivery.jdbc.dao.Raca_AnimalDAO,LINE,0.043478260869565216,46,2;;;;;;;
br.com.petdelivery.jdbc.dao.ServicoDAO,LINE,0.05405405405405406,37,2;;;;;;;
br.com.petdelivery.jdbc.dao.Servico_AutonomoDAO,LINE,0.0425531914893617,47,2;;;;;;;
br.com.petdelivery.jdbc.dao.Servico_PetshopDAO,LINE,0.05714285714285714,35,2;;;;;;;
br.com.petdelivery.jdbc.dao.Tipo_AnimalDAO,LINE,0.08695652173913043,23,2;;;;;;;
br.com.petdelivery.jdbc.dao.Unidade_PetshopDAO,LINE,0.038461538461538464,52,2;;;;;;;
br.com.petdelivery.jdbc.dao.UsuarioDAO,LINE,0.02,100,2;;;;;;;
br.com.petdelivery.jdbc.modelo.Agenda_Servico,LINE,1.0,34,34;;;;;;;
br.com.petdelivery.jdbc.modelo.Animal,LINE,1.0,31,31;;;;;;;
br.com.petdelivery.jdbc.modelo.Autonomo,LINE,1.0,34,34;;;;;;;
br.com.petdelivery.jdbc.modelo.Busca,LINE,1.0,25,25;;;;;;;
br.com.petdelivery.jdbc.modelo.Petshop,LINE,1.0,13,13;;;;;;;
br.com.petdelivery.jdbc.modelo.Prestador,LINE,1.0,22,22;;;;;;;
br.com.petdelivery.jdbc.modelo.Raca_Animal,LINE,1.0,10,10;;;;;;;
br.com.petdelivery.jdbc.modelo.Servico,LINE,1.0,7,7;;;;;;;
br.com.petdelivery.jdbc.modelo.Servico_Autonomo,LINE,1.0,19,19;;;;;;;
br.com.petdelivery.jdbc.modelo.Servico_Petshop,LINE,1.0,22,22;;;;;;;
br.com.petdelivery.jdbc.modelo.Tipo_Animal,LINE,1.0,7,7;;;;;;;
br.com.petdelivery.jdbc.modelo.Unidade_Petshop,LINE,1.0,31,31;;;;;;;
br.com.petdelivery.jdbc.modelo.Usuario,LINE,1.0,34,34;;;;;;;
br.com.petdelivery.jdbc.teste.TestaConexao,LINE,0.4,5,2;;;;;;;
br.com.petdelivery.jdbc.teste.TestaRaca_Animal,LINE,0.375,8,3;;;;;;;
br.com.petdelivery.jdbc.teste.TestaTipo_Animal,LINE,0.625,8,5;;;;;;;
br.com.petdelivery.jdbc.teste.TestaUsuario,LINE,0.7894736842105263,19,15;;;;;;;
br.com.petdelivery.mvc.logica.UsuarioSelectLogic,LINE,0.5,4,2;;;;;;;
br.com.petdelivery.servlet.AdicionaUsuarioServlet,LINE,0.10714285714285714,28,3;;;;;;;
br.com.petdelivery.controller.HomePrestadorController,BRANCH,1.0,16,16;;;;;;;
br.com.petdelivery.controller.HomeUsuarioController,BRANCH,0.9166666666666666,24,22;;;;;;;
br.com.petdelivery.controller.IndexController,BRANCH,1.0,9,9;;;;;;;
br.com.petdelivery.controller.LoginController,BRANCH,0.2,10,2;;;;;;;
br.com.petdelivery.jdbc.ConnectionFactory,BRANCH,0.75,8,6;;;;;;;
br.com.petdelivery.jdbc.dao.Agenda_ServicoDAO,BRANCH,0.25,4,1;;;;;;;
br.com.petdelivery.jdbc.dao.AnimalDAO,BRANCH,0.16666666666666666,6,1;;;;;;;
br.com.petdelivery.jdbc.dao.AutonomoDAO,BRANCH,0.2,5,1;;;;;;;
br.com.petdelivery.jdbc.dao.HelperDAO,BRANCH,0.3333333333333333,3,1;;;;;;;
br.com.petdelivery.jdbc.dao.PetshopDAO,BRANCH,0.2,5,1;;;;;;;
br.com.petdelivery.jdbc.dao.PrestadorDAO,BRANCH,0.01694915254237288,59,1;;;;;;;
br.com.petdelivery.jdbc.dao.Raca_AnimalDAO,BRANCH,0.125,8,1;;;;;;;
br.com.petdelivery.jdbc.dao.ServicoDAO,BRANCH,0.16666666666666666,6,1;;;;;;;
br.com.petdelivery.jdbc.dao.Servico_AutonomoDAO,BRANCH,0.125,8,1;;;;;;;
br.com.petdelivery.jdbc.dao.Servico_PetshopDAO,BRANCH,0.25,4,1;;;;;;;
br.com.petdelivery.jdbc.dao.Tipo_AnimalDAO,BRANCH,0.25,4,1;;;;;;;
br.com.petdelivery.jdbc.dao.Unidade_PetshopDAO,BRANCH,0.16666666666666666,6,1;;;;;;;
br.com.petdelivery.jdbc.dao.UsuarioDAO,BRANCH,0.1111111111111111,9,1;;;;;;;
br.com.petdelivery.jdbc.modelo.Agenda_Servico,BRANCH,1.0,23,23;;;;;;;
br.com.petdelivery.jdbc.modelo.Animal,BRANCH,1.0,21,21;;;;;;;
br.com.petdelivery.jdbc.modelo.Autonomo,BRANCH,1.0,23,23;;;;;;;
br.com.petdelivery.jdbc.modelo.Busca,BRANCH,1.0,17,17;;;;;;;
br.com.petdelivery.jdbc.modelo.Petshop,BRANCH,1.0,9,9;;;;;;;
br.com.petdelivery.jdbc.modelo.Prestador,BRANCH,1.0,15,15;;;;;;;
br.com.petdelivery.jdbc.modelo.Raca_Animal,BRANCH,1.0,7,7;;;;;;;
br.com.petdelivery.jdbc.modelo.Servico,BRANCH,1.0,5,5;;;;;;;
br.com.petdelivery.jdbc.modelo.Servico_Autonomo,BRANCH,1.0,13,13;;;;;;;
br.com.petdelivery.jdbc.modelo.Servico_Petshop,BRANCH,1.0,15,15;;;;;;;
br.com.petdelivery.jdbc.modelo.Tipo_Animal,BRANCH,1.0,5,5;;;;;;;
br.com.petdelivery.jdbc.modelo.Unidade_Petshop,BRANCH,1.0,21,21;;;;;;;
br.com.petdelivery.jdbc.modelo.Usuario,BRANCH,1.0,23,23;;;;;;;
br.com.petdelivery.jdbc.teste.TestaConexao,BRANCH,1.0,2,2;;;;;;;
br.com.petdelivery.jdbc.teste.TestaRaca_Animal,BRANCH,0.3333333333333333,3,1;;;;;;;
br.com.petdelivery.jdbc.teste.TestaTipo_Animal,BRANCH,1.0,2,2;;;;;;;
br.com.petdelivery.jdbc.teste.TestaUsuario,BRANCH,1.0,3,3;;;;;;;
br.com.petdelivery.mvc.logica.UsuarioSelectLogic,BRANCH,1.0,2,2;;;;;;;
br.com.petdelivery.servlet.AdicionaUsuarioServlet,BRANCH,1.0,2,2;;;;;;;
br.com.petdelivery.controller.HomePrestadorController,METHOD,0.6875,16,11;;;;;;;
br.com.petdelivery.controller.HomeUsuarioController,METHOD,0.5,14,7;;;;;;;
br.com.petdelivery.controller.IndexController,METHOD,0.6666666666666666,9,6;;;;;;;
br.com.petdelivery.controller.LoginController,METHOD,0.6666666666666666,3,2;;;;;;;
br.com.petdelivery.jdbc.ConnectionFactory,METHOD,0.6666666666666666,3,2;;;;;;;
br.com.petdelivery.jdbc.dao.Agenda_ServicoDAO,METHOD,0.3333333333333333,3,1;;;;;;;
br.com.petdelivery.jdbc.dao.AnimalDAO,METHOD,0.25,4,1;;;;;;;
br.com.petdelivery.jdbc.dao.AutonomoDAO,METHOD,0.25,4,1;;;;;;;
br.com.petdelivery.jdbc.dao.HelperDAO,METHOD,0.5,2,1;;;;;;;
br.com.petdelivery.jdbc.dao.PetshopDAO,METHOD,0.25,4,1;;;;;;;
br.com.petdelivery.jdbc.dao.PrestadorDAO,METHOD,0.09090909090909091,11,1;;;;;;;
br.com.petdelivery.jdbc.dao.Raca_AnimalDAO,METHOD,0.2,5,1;;;;;;;
br.com.petdelivery.jdbc.dao.ServicoDAO,METHOD,0.25,4,1;;;;;;;
br.com.petdelivery.jdbc.dao.Servico_AutonomoDAO,METHOD,0.25,4,1;;;;;;;
br.com.petdelivery.jdbc.dao.Servico_PetshopDAO,METHOD,0.3333333333333333,3,1;;;;;;;
br.com.petdelivery.jdbc.dao.Tipo_AnimalDAO,METHOD,0.3333333333333333,3,1;;;;;;;
br.com.petdelivery.jdbc.dao.Unidade_PetshopDAO,METHOD,0.25,4,1;;;;;;;
br.com.petdelivery.jdbc.dao.UsuarioDAO,METHOD,0.16666666666666666,6,1;;;;;;;
br.com.petdelivery.jdbc.modelo.Agenda_Servico,METHOD,1.0,23,23;;;;;;;
br.com.petdelivery.jdbc.modelo.Animal,METHOD,1.0,21,21;;;;;;;
br.com.petdelivery.jdbc.modelo.Autonomo,METHOD,1.0,23,23;;;;;;;
br.com.petdelivery.jdbc.modelo.Busca,METHOD,1.0,17,17;;;;;;;
br.com.petdelivery.jdbc.modelo.Petshop,METHOD,1.0,9,9;;;;;;;
br.com.petdelivery.jdbc.modelo.Prestador,METHOD,1.0,15,15;;;;;;;
br.com.petdelivery.jdbc.modelo.Raca_Animal,METHOD,1.0,7,7;;;;;;;
br.com.petdelivery.jdbc.modelo.Servico,METHOD,1.0,5,5;;;;;;;
br.com.petdelivery.jdbc.modelo.Servico_Autonomo,METHOD,1.0,13,13;;;;;;;
br.com.petdelivery.jdbc.modelo.Servico_Petshop,METHOD,1.0,15,15;;;;;;;
br.com.petdelivery.jdbc.modelo.Tipo_Animal,METHOD,1.0,5,5;;;;;;;
br.com.petdelivery.jdbc.modelo.Unidade_Petshop,METHOD,1.0,21,21;;;;;;;
br.com.petdelivery.jdbc.modelo.Usuario,METHOD,1.0,23,23;;;;;;;
br.com.petdelivery.jdbc.teste.TestaConexao,METHOD,0.5,2,1;;;;;;;
br.com.petdelivery.jdbc.teste.TestaRaca_Animal,METHOD,0.5,2,1;;;;;;;
br.com.petdelivery.jdbc.teste.TestaTipo_Animal,METHOD,0.5,2,1;;;;;;;
br.com.petdelivery.jdbc.teste.TestaUsuario,METHOD,0.3333333333333333,3,2;;;;;;;
br.com.petdelivery.mvc.logica.UsuarioSelectLogic,METHOD,0.5,2,1;;;;;;;
br.com.petdelivery.servlet.AdicionaUsuarioServlet,METHOD,0.5,2,1;;;;;;;
br.com.petdelivery.controller.HomePrestadorController,WEAKMUTATION,0.37037037037037035,27,10;;;;;;;
br.com.petdelivery.controller.HomeUsuarioController,WEAKMUTATION,0.38202247191011235,89,34;;;;;;;
br.com.petdelivery.controller.IndexController,WEAKMUTATION,0.5,22,11;;;;;;;
br.com.petdelivery.controller.LoginController,WEAKMUTATION,0.05,20,1;;;;;;;
br.com.petdelivery.jdbc.ConnectionFactory,WEAKMUTATION,1.0,53,47;;;;;;;
br.com.petdelivery.jdbc.dao.Agenda_ServicoDAO,WEAKMUTATION,0.0,59,0;;;;;;;
br.com.petdelivery.jdbc.dao.AnimalDAO,WEAKMUTATION,0.0,60,0;;;;;;;
br.com.petdelivery.jdbc.dao.AutonomoDAO,WEAKMUTATION,0.0,111,0;;;;;;;
br.com.petdelivery.jdbc.dao.HelperDAO,WEAKMUTATION,0.0,3,0;;;;;;;
br.com.petdelivery.jdbc.dao.PetshopDAO,WEAKMUTATION,0.0,34,0;;;;;;;
br.com.petdelivery.jdbc.dao.PrestadorDAO,WEAKMUTATION,0.0,196,0;;;;;;;
br.com.petdelivery.jdbc.dao.Raca_AnimalDAO,WEAKMUTATION,0.0,25,0;;;;;;;
br.com.petdelivery.jdbc.dao.ServicoDAO,WEAKMUTATION,0.0,16,0;;;;;;;
br.com.petdelivery.jdbc.dao.Servico_AutonomoDAO,WEAKMUTATION,0.0,49,0;;;;;;;
br.com.petdelivery.jdbc.dao.Servico_PetshopDAO,WEAKMUTATION,0.0,36,0;;;;;;;
br.com.petdelivery.jdbc.dao.Tipo_AnimalDAO,WEAKMUTATION,0.0,11,0;;;;;;;
